Opponent/Game	Category	Start	Click	End	XY	Attacking Player	Shot Origin	Shot Outcome	Shot Location	Defending Player	Descriptor
TUR	@@@P1	00:00	00:00	00:00	Worlds Preliminary 2026 M						
TUR	T-START	00:00	00:00	00:00	Worlds Preliminary 2026 M						
TUR	Shot Opponent	00:00	00:03	00:15	Worlds Preliminary 2026 M	Player 4	2	Canada Ball Control Save	1.5	Nick	
TUR	Shot Canada	00:11	00:16	00:36	Worlds Preliminary 2026 M	Nick	5	Goal Canada	2	Player 1	
TUR	Shot Opponent	00:32	00:37	00:43	Worlds Preliminary 2026 M	Player 6	5	Canada Save	3	Mason	
TUR	Shot Canada	00:39	00:44	00:50	Worlds Preliminary 2026 M	Blair	2	Opponent Save	4.5	Player 6	
TUR	Shot Opponent	00:46	00:51	01:00	Worlds Preliminary 2026 M	Player 6	5	Opponent Out	6		
TUR	Shot Canada	00:56	01:01	01:14	Worlds Preliminary 2026 M	Nick	4	Opponent Save	2	Player 4	
TUR	Shot Opponent	01:10	01:15	01:24	Worlds Preliminary 2026 M	Player 4	2	Goal Opponent	3	Mason	
TUR	Shot Canada	01:23	01:28	01:40	Worlds Preliminary 2026 M	Blair	1	Opponent Save	4	Player 1	
TUR	Shot Opponent	01:35	01:40	01:58	Worlds Preliminary 2026 M	Player 6	2	Canada Save	1.5	Nick	
TUR	Shot Canada	01:54	01:59	02:05	Worlds Preliminary 2026 M	Mason	3	Opponent Save	5	Player 6	
TUR	Shot Opponent	02:01	02:06	02:14	Worlds Preliminary 2026 M	Player 6	5	Canada Ball Control Save	4.5	Nick	
TUR	Shot Canada	02:09	02:14	02:21	Worlds Preliminary 2026 M	Nick	5	Canada Out	6		
TUR	Shot Opponent	02:16	02:21	02:34	Worlds Preliminary 2026 M	Player 4	4	Canada Ball Control Save	4.5	Nick	
TUR	Shot Canada	02:45	02:50	03:04	Worlds Preliminary 2026 M	Blair	2	Opponent Save	3.5	Player 1	
TUR	Shot Opponent	03:00	03:05	03:12	Worlds Preliminary 2026 M	Player 4	3	Canada Ball Control Save	3	Mason	
TUR	Shot Canada	03:09	03:14	03:19	Worlds Preliminary 2026 M	Mason	3	Opponent Save	2.5	Player 1	
TUR	Shot Opponent	03:12	03:17	03:24	Worlds Preliminary 2026 M	Player 4	1	Canada Ball Control Save	4.5	Nick	
TUR	Shot Canada	03:19	03:24	03:33	Worlds Preliminary 2026 M	Mason	3	Opponent Save	4	Player 6	
TUR	Shot Opponent	03:29	03:34	03:41	Worlds Preliminary 2026 M	Player 6	5	Canada Ball Control Save	5	Nick	
TUR	Shot Canada	03:37	03:42	03:51	Worlds Preliminary 2026 M	Blair	5	Opponent Save	3	Player 1	
TUR	Shot Opponent	03:46	03:51	03:58	Worlds Preliminary 2026 M	Player 4	1	Canada Save	3	Mason	
TUR	Shot Canada	03:54	03:59	04:08	Worlds Preliminary 2026 M	Blair	2	Opponent Save	5	Player 6	
TUR	Shot Opponent	04:04	04:09	04:26	Worlds Preliminary 2026 M	Player 6	4	Goal Opponent	3	Mason	
TUR	Shot Canada	04:33	04:38	04:50	Worlds Preliminary 2026 M	Blair	2	Goal Canada	4	Player 6	
TUR	Shot Opponent	04:53	04:58	05:10	Worlds Preliminary 2026 M	Player 4	4	Canada Ball Control Save	4	Mason	
TUR	Shot Canada	05:06	05:11	05:16	Worlds Preliminary 2026 M	Mason	3	Opponent Save	3.5	Player 4	
TUR	Shot Opponent	05:12	05:17	05:22	Worlds Preliminary 2026 M	Player 6	5	Canada Save	1.5	Blair	
TUR	Shot Canada	05:17	05:22	05:28	Worlds Preliminary 2026 M	Blair	2	Opponent Save	3	Player 4	
TUR	Shot Opponent	05:25	05:30	05:36	Worlds Preliminary 2026 M	Player 4	3	Canada Ball Control Save	3	Mason	
TUR	Shot Canada	05:32	05:37	05:42	Worlds Preliminary 2026 M	Mason	3	Opponent Save	3	Player 1	
TUR	Shot Opponent	05:35	05:40	05:47	Worlds Preliminary 2026 M	Player 6	4	Canada Save	3	Mason	
