Game	Category	Start	Click	End	Tournament	Attacking Player	Shot Origin	Shot Outcome	Shot Location	Defending Player
CAN vs TUR	@@@P1				Preliminary Worlds 2026 G1 M					
CAN vs TUR	T-START				Preliminary Worlds 2026 G1 M					
CAN vs TUR	T-END				Preliminary Worlds 2026 G1 M					
CAN vs TUR	@@@P2				Preliminary Worlds 2026 G1 M					
CAN vs TUR	T-START				Preliminary Worlds 2026 G1 M					
CAN vs TUR	T-END				Preliminary Worlds 2026 G1 M					
Poland vs Turkey	@@@P1				Euro 2025 G1 M					
Poland vs Turkey	T-START				Euro 2025 G1 M					
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	5	Save	4	Turkey - Player 6
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	4	Save	3	Poland - Player 1
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	4	Save	1	Turkey - Player 4
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	1	Save	2	Poland - Player 1
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	4	Save	2	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	1	Out	6	
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	2	Goal	1	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	5	Save	3	Turkey - Player 1
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	5	Save	3	Poland - Player 1
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	1	Save	4	Turkey - Player 6
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	1	Save	1	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	4	Save	1	Turkey - Player 4
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	5	Save	2	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	4	Save	1	Turkey - Player 4
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	1	Save	2	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	4	Save	2	Turkey - Player 4
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	2	Save	3.5	Poland - Player 1
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	5	Save	2	Turkey - Player 4
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	2	Save	2	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	1	Save	4	Turkey - Player 6
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	2	Save	2	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	1	Save	3.5	Turkey - Player 1
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	3	Save	2	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	2	Save	4	Turkey - Player 6
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	4	Save	3	Poland - Player 1
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	5	Save	3.5	Turkey - Player 1
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	2	Save	2	Poland - Player 6
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	4	Save	2.5	Poland - Player 1
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	2	Save	4	Turkey - Player 6
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	4	Save	2	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	3	Save	2.5	Turkey - Player 1
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	2	Save	2	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	4	Out	0	
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	4	Save	2	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	2	Save	5	Turkey - Player 6
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	1	Out	0	
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	4	Save	1.5	Turkey - Player 4
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	5	Save	1	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	4	Save	1.5	Turkey - Player 6
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	2	Save	4	Poland - Player 8
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	1	Save	4	Turkey - Player 6
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	2	Save	4	Poland - Player 1
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	2	Save	4	Turkey - Player 6
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	5	Save	2.5	Poland - Player 1
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	4	Save	3.5	Poland - Player 1
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	5	Save	3	Turkey - Player 1
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	2	Save	1.5	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	2	Out	6	
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	3	Save	3	Poland - Player 1
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	1	Save	1	Turkey - Player 4
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	1	Save	4.5	Poland - Player 8
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	2	Save	4	Turkey - Player 6
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 6	4	Goal	2	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 6	1	Save	2	Turkey - Player 4
Poland vs Turkey	Shot Turkey	00:00	00:00	00:00	Euro 2025 G1 M	Turkey - Player 4	4	Save	1.5	Poland - Player 6
Poland vs Turkey	Shot Poland	00:00	00:00	00:00	Euro 2025 G1 M	Poland - Player 8	5	Long Ball	1	
